amountRaised,campaignTitle,currencyType,endDate,goal,numberContributors,story,url
165,Help Jaxson get colorblind glasses,U.S. Dollar,,of $349 goal,7,"Help Jaxson See The World In Color! Jaxson will turn 8 in May of 2019.
      He is color blind. He has strong proton color blindness. This
      means that his red cones don't detect enough red and are too
      sensitive to greens, yellows and organs. As a result, greens,
      yellows, oranges, reds and browns appear the same especially in
      low light. He also has difficulty telling blues from purples and
      pinks from grays. Jaxson is a sweet kid and is well adapted to having color blindness
    but it does make somethings more difficult. You really take for
    granted how much you rely on seeing color. There are many common
    things that Jaxson struggles with: picking out clothes that match,
    finding the right color of LEGO while building a kit, seeing print
    on a colored background, and even seeing his bobber while fishing. I took him to try the color blind glasses out because he told me
    that he just wanted to see what the world was really like. He
    described seeing colors for the first times as amazing and
    mind-blowing! He told me that he saw colors that he never saw before
    like red, purple and pink. He told me that he doesn't want me to get him the glasses because
    he is okay with how God made him and he doesn't want me to spend
    that much money on him. I would like to get him these for his
    birthday so that he doesn't feel as if we are spending tons of money
    on him. His lenses will cost about $469. This is the cost with the frames.
    We are hoping that insurance maybe able to cover the frames.
    Insurance will not cover anything for the lenses. Please help us let Jaxson see the world in color! WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",https://fundrazr.com/01UhUc
"5,270",Kidney for Bryanna,U.S. Dollar,"Jul 1, 2019",of $5k goal,52,"My daughter, Bryanna, needs a kidney. She is 19 years old and is one
  of the hardest working, loving and hilarious young Christian woman I
  have known. Unfortunately, while she was a junior in high school, it
  was discovered that her kidneys were failing. She was diagnosed with FSGS, which causes scarring in the tiny
  filters in her kidneys, rendering them useless. Several medications
  were used in an attempt to slow the progress of the disease but her
  body did not respond.  This past November she had a dialysis catheter
  placed and started dialysis. She does her dialysis at home and has so
  much responsibility between her daily 14 hour dialysis routine, many
  medications, strict diet and weekly clinic appointments. As her health
  declined, she has maintained a part time job and has taken classes at
  community college as she wants to become a registered nurse. She has
  nowhere near the stamina a 19 year old should have but she pushes
  herself so hard. Wait time for a type O kidney in Michigan is 5-5 1/2 years. As a
  parent it is gut wrenching to watch her suffer the fatigue, constant
  nausea, and occasional depression. A suitable live donor has not been
  found. Fort Worth, Texas currently has the shortest wait time in the
  nation at less than a year is estimated. As a result, we are uprooting
  our family and moving to Texas in order to have her listed there. We will be starting over with new insurance deductibles and, due to
  moving expenses, paying her medical costs will be very difficult.
  Please consider donating in order to offset the medical costs for her
  current treatment and help us prepare for a transplant. All donations
  will be kept in a separate account for her medical bills. Ability to
  afford medical expenses (such as post transplant anti-rejection
  medications) is necessary in order to be listed for transplant. We appreciate all support, whether it is monetary, a prayer or a word
  of encouragement. Please be sure to consider becoming a registered
  organ donor and be sure your family is aware of your wishes. There are
  so many people like Bryanna who are waiting. Thank you so much for reading this and for caring.",https://fundrazr.com/11Ugn5
"32,749",Hannah's Heroes,U.S. Dollar,,of $177k goal,586,"Our daughter Hannah was born with 2 very rare diseases 1 called C.A.H
  and the other called Spinal Muscular Atrophy, which works to rob her
  of her ability to move, breath and, eventually, live. There is a drug
  that can stop this disease. It has just approved it. But accessing it
  costs $177,000, and the process of our drug plan won’t be ready for
  another year. That’s a year that our little girl can’t afford to wait.
  It would be a year of vulnerability and loss. But with your
  help, we believe we can turn it into a year of miracles! Let me
  tell you the rest of our story. Spinal Muscular Atrophy (SMA) has
  become our daily life. It’s the genetic condition most likely to kill
  children under six years of age, and our daughter has it. It’s a
  progressive lower motor neuron disease, that is loosely paralleled to
  adult ALS. But there are significant differences: most notably, SMA
  never affects cognition, so our daughter is as bright and keen as any
  other child her age. At 14 months, Hannah took her first 3 steps. She has never walked
  since then. After those first steps, she lost any strength to walk,
  then strength to pull up to stand, and then the strength to crawl. She
  can barely get from a lying position to a sitting position. Hannah is
  our mature little scholar! But she is completely dependant on us for
  dressing, toileting, and getting her in her wheelchair.But those
  things aren’t the worst. She is at an extreme risk of respiratory
  failure. Every single simple cold/viral infection is a threat. At
  least three times a year these infections strike hard enough to send
  her to the hospital. As a parent, I weep and get nauseous just
  thinking about this. I don’t want to think about what the next year
  could hold for her. But the amazing thing is that it doesn’t have
  to be that kind of year for our little girl. For over two decades
  the gene responsible for SMA has been known but there has not been a
  single available treatment. This past summer the first drug in history
  to specifically treat SMA was approved ! It is called Spinraza
  (Nusinersen). It can completely halt SMA in its path and even lead to
  some GAIN in muscle strength! This drug truly is a miracle, and
  we need our daughter on it as soon as possible. Though it’s
  approved Spinraza won’t be available on our drug plans for another
  year. It costs $177,000 to provide a year’s supply for Hannah 3 vials
  . The manufacturer, Biogen, will sell it directly to families willing
  to pay for it. This treatment WILL stop Hannah's respiratory deterioration, keep her
  hands strong, and prevent future problems in her spine that would
  require surgery.And we don’t even know what gains it might provide.
  Instead of a year of atrophy it can become a year of miracles! But we
  need your help. We do everything we can for our little girl but we
  can’t do this alone. We need to raise $177,000. Please join us
  on our journey and help to make this a year of miracles for Hannah",https://fundrazr.com/HannahsHeroes
355,Help James get something off their chest!,U.S. Dollar,,of $8k goal,10,"About me: I’m a passionate animal lover from Roanoke,
  VA working at a nonprofit animal welfare organization in the
  Shenandoah Valley (yep, the same one the sad song is about). I was
  privileged as a young adult to spend time in safe spaces, and I found
  the latitude to question my gender. While I was described as a tomboy
  in my childhood, there is perhaps more to the story as an adult. The Challenge: I am deeply rooted to nonprofits and
  cause-based work, leaving little time and energy left towards pure
  capital gain. That said, over my years of questioning, researching,
  listening to trans people’s personal journeys, and amplifying voices
  where and when I can, surgery is going to be part of my transition to
  greater comfort in my own body and my own skin. While I find it
  difficult to put into language the nuance of how I feel in my body,
  the long and short of it is that I’m very uncomfortable with some of
  its features that cannot be the shape I feel they should without top surgery. The Goal: The purpose of this fundraiser is to raise
  money to pay for my top surgery. Donations will go directly to getting
  something off my chest so I can continue my work in the nonprofit
  sector with animals who have no voice otherwise. I humbly ask for your consideration among
  so many other worthy causes. A few dollars, a few cents, is deeply
  appreciated! Every contribution counts! No donation is too small!",https://fundrazr.com/boobsbegone
"690,181",British Gut,,,,,"This is a unique open collaboration between the TwinsUK team at King's College London and The American Gut Project (AGP) / The Microsetta Initiative to expand the study of the bacterial diversity to
    participants in Europe. If you are a participant living outside Europe and would like
    to participate, please refer to our American Gut Fundrazr page . Many
  people don't realize that the bacteria that live inside us play an
  incredibly important role in our health. There are so many of them:
  They make up 50 percent of the cells in our body and their most
  important jobs include manufacturing vitamins for us and breaking down
  and digesting our food. The trillions of bacteria in our gut weigh
  nearly 2 kg (over 4lbs). This community of bacteria can be thought of
  as an extra 'organ' which we call our ""microbiome"".  Recent
  research has discovered that small changes in this finely balanced
  community can affect our immune system, metabolism, body weight, mood
  and may even cause diseases such as Crohn's disease, irritable bowel
  syndrome, cancer, autoimmune disease, diabetes and heart disease. This is the first project of its kind in Europe, as an extension
    of the American Gut Project & The Microsetta Initiative, based
    at the University of California San Diego.  We have collaborated
    with TwinsUK at King’s College London so that those living in Europe
    can participate, and with your help, we will be able to discover
    more about the crucial relationship between our health and our
    microbiome, and on a personal level, you will be able to discover
    the bacterial profile of your own gut. With your help, we hope to be
    able to answer questions such as 'How much does our choice of
    lifestyle and diet influence our microbiome, and can we alter our
    microbiome to make us healthier?' We are discovering that each person is very different and has
    their own unique microbiome. More research is needed to work out
    what constitutes a 'healthy' microbiome, and which combinations of
    bacteria are beneficial and which ones should be avoided. In order
    to do this ambitious and much-needed project, we urgently need a
    large scale collection of human samples. Over ten thousand people
    have already signed up in America already through the American Gut
    Project-- but we need many more from Europe. The project mainly focuses on the gut as this is our main
    'microbial home', however, the study will also look at areas like
    the oral and skin, as these areas of the body may be influenced by
    the microbiome. Joining is simple! Select the kit you would like from the list
    of options on the left-hand side by clicking “Claim this perk” found
    on the right side (if you would like to receive a specific number of
    kits that isn’t listed as a perk, email us at info@britishgut.org ). You will receive your kit within 3 weeks after payment. Shipping within the U.K. first class should be around £2.90, but
    we recommend taking the sample to the post office to get the proper
    postage. Getting the postage right on the first try is important
    since samples that spend a long time in transit will likely not
    produce the highest quality results. After you have returned your
    sample to us, we will then sent it to the Knight Lab at the
    University of California San Diego to be processed and analyzed. We estimate that the whole process will take about 4-5
  months. We typically bulk ship samples back to the Knight
  Lab every 1-2 months on dry ice to reduce shipping costs. Once your
  sample is arrives at the Knight Lab (you'll get a notification when
  they have received your sample), it takes approximately 3 months to
  return results. Each kit contains a sample collection device (or multiple if you
    ordered more than one), an instruction packet on how to sample, and
    return envelope(s) to send your sample tube(s) back. Once we provide you with your results, you will receive data
    visualization of how your results compare to other people who are
    within the same diet and lifestyle group as you (having different
    results from them does not necessarily mean anything bad, it can
    just be that you have different lifestyles that make bacterial
    profile is different).   In addition, you will be provided with a
    list of the major groups of bacteria in your sample and their
    relative abundances (based at the genus level). These results are not actionable,
      and we do not provide any personalized interpretation . It will take longer than the expected 4-5 months to receive
      results if you are submitting one of the following sample types: Oral or skin samples. A desktop computer or laptop is recommended to register and log your sample into our
      participant portal website, as our participant website has
      compatibility issues on mobile devices and tablets.  The best
      browser to use when you register your kit is Google Chrome. Note your de-identified information will be part of a
      research study and will be made available in a publicly available
      research database. That is, any personal information that might
      easily identify who you are will be removed before being placed in
      the public database. If you decide that you no longer wish to continue in this
      study, please send a request to the British Gut Project help
      account ( info@britishgut.org ) to inform us of your intent to withdraw. You may request a
      refund within 50 days of your original payment if you have not yet used your kit. Please note that the Fundrazr transaction fee will be
        deducted from your refund. The consent forms are maintained on the participant website;
      details are included in your kit. To sign the consent form, you
      must agree to use an electronic format for your signature in
      accordance with the United States' eSIGN Act and California's UETA
      Act. You have the right to obtain the electronic record in a
      non-electronic form. The results you receive from submitting a sample are not
      meant to act as medical or health diagnoses . We will not be able to provide any clinical or medical
      information/recommendations from your results. We look forward to working together on this new and exciting
      project! If you have any questions, email us at info@britishgut.org .",https://fundrazr.com/britishgut
"1,832",Help Us Make Ireland's Dream a Reality!,U.S. Dollar,,of $500k goal,26,"Hello, we are Megan and Mark. Over three years ago Megan gave birth
  to our beautiful baby girl, Ireland. However, during birth, an
  umbilical cord prolapse resulted in Ireland having cererbal palsy. She
  spent the first 7 weeks of life in the hospital, and we waitied
  anxiously to take her home to her older brothers. This was our first real world experience with cerebral palsy. Many
  people we talk to today don't even know what cerebral palsy is.
  Cerebral palsy is a variable type of brain injury that affects people
  in many different ways. Some children are only slightly affected,
  while others are permamently disabled, wheelchair-bound, and need
  constant attendant care. Cerebral palsy makes a huge impact on the family dynamic. Not only
  are many cerebral palsy families financially dessimated by this
  disease, but they are also stressed emotionally and physically. There are no treatments out there that are covered by insurance to
  treat or reverse cererbal palsy. However, there are many, many
  therapies available worldwide that improve cerebral palsy, and can
  have significant impacts on quality of life. Unfortunately, most of
  these therapies are difficult to obtain due to lack of insurance
  coverage and travel costs. We were lucky enough to discover and utilize many of these therapies
  for Ireland, and have seen dramatic improvements in her since using
  these therapies. We truly believe that no child with cerebral palsy
  should have his or her treatment options limited by his or her
  parent's financial status. Out of this belief, Ireland's Dream was born. Ireland's Dream is to establish a medical center that is fully
  dedicated to the treatment of people with cerebral palsy and their
  families. This Center will have the latest in treatment technologies
  that people all over the world are using for cerebral palsy, available
  under one roof. These therapies include hyperbaric oxygen, ozone
  therapy, Cuevas Medek therapy, scoliosis treatment, and vibration
  therapy. Other necessary therapies will include family counseling,
  diet/nutritional interventions, feeding therapy, assistive device
  training, and more. Our goal is to make cerebral palsy synonymous with Ireland's Dream.
  Please help us make Ireland's Dream come true for patients all over
  the country who are suffering from the debilitating disease. We thank you greatly for any support you can provide.",https://fundrazr.com/f13EF1
160,Please help fund Emma's SRS surgery,Australian Dollar,,of $30k goal,5,"I'm a male-to-female (MtF) transgender female. 23 years old. I'm first and foremost human who deserves happiness, like we all do :) Please help me in achieving a life awaited dream of mine. I've been on hormone replacement therapy (HRT) for nearly two years
  now. Had a bilateral Orchiectomy in August 2014. Although I've been
  transitioning ever since I was 19 with the knowledge Iam transgender
  from a very young age. Since 2011 till present;  I have undergone more
  than just physical and emotional changes.  I had/have to attend
  numerous physiologist,  psychiatrist, endocrinologist, GP and many
  other specialist appointments, tests/examinations and blood tests.
  Along the side had and continue to put up with the financial and
  emotional stress, and burden from society and my family. I moved out to be independent in May 2014.  Since then more drama had
  developed.  Adding to the financial pain. All my appointments, tests,
  medicine and travel is very costly and adds to the hole in my pocket.
   Day after day i deal with a lot, just to get by without going crazy.
   I have lost a job over who i am and been refused many since then.
  Being transgender isn't easy, but it's who I am and I will do anything
  in my power to be a full female; or die trying.  Unfortunately the
  Australian Government doesn't cover my surgery.  I need this surgery
  to live.  In order to function and enjoy being a full female,  SRS is
  mentally,  physically and emotionally necessary. If you could help
  make this dream, a reality that would be the most appropriated. Love cooking, baking, fashion, sewing, travel, animals, movies,
  music, winter, tea and health. Thank you!",https://fundrazr.com/dwIO5
"7,065",Fundraiser for Michelle Smith,U.S. Dollar,"Jun 25, 2019",of $20k goal,68,"Hi my name is David Prendergast and I wanted to invite you to a event
  to help my sister Michelle Smith with her fight against cancer. We are
  holding a pig roast and beer fundraiser for Michelle Smith to help her
  pay medical bills and expenses related to her cancer treatment. Michelle is battling uterine cancer. We want to support her in her journey.",https://fundrazr.com/e1Vcz9
975,Lena's journey to become a Professional Sexological Bodyworker,Euro,,of €3k goal,6,"I need your support to take part at the Sexological Bodywork
    Professional Training in Berlin Welcome to my fundraising campaign. I need your help to pay for my six months training at the Institute
  of Somatic Sexology to become a somatic sex educator. http://sexological-bodywork.institute/ Who am I? I am questioning things. I am curious, I am aware of the fact
  that there is more then one truth, more then one way of living a life. My eating disorders brought me into studying nutrition, and
  afterwards into becoming a chef in order to confront and step by step
  to heal myself. Miscommunication and a lack of loving touch in my
  family also took me on this journey. My trauma was drawing important
  steps in my life so far. Now, I developed a understanding that working with my wound/
  with my trauma is a life long journey. I see the importance of working
  with and raising life energy. Our strongest life energy is our sexual
  energy. Within every journey has to travel through sexuality. I feel I
  need to support and heal other beings, especially women. I am able to
  meet them where they are. I understand, because I am travelling the
  same journey. In my opinion there is a connection in between our eating and
  sexual behaviour, I would like to learn and to research deeper
  regarding this interaction. What is a sexual somatic bodyworker? A Certified Sexological Bodyworker educates and empowers people
  who are interested in their own erotic development. By using breath,
  voice, movement, touch and massage, a professional sexual bodyworker
  is providing a journey for people to find out more about their bodies,
  sex and sexuality, or work through sexual issues or concerns. My goals with the course: • Being able to create and hold a safe space for people who are
  on their journey of experiencing themselves by travelling through
  their sexuality • Receive a professional education in ways to
  touch individual people in a healing way • Being empowered to
  share my opinion that sexuality should be free of guilt and shame and
  to educate the next generation about healthy and stigma-free sexuality • Combining spiritual work like Yoga, Meditation, Pranayama,
  Reiki healing, Estatic dance with knowledge and further research about
  how to nourish our bodies on a celluar basis through food and sexuality To take part at this life changing experience I need your
    financial support. It is an investigation into myself – that is truth- but longterm it is an investment in something bigger, deeper. It
  is core work. Working on your real core, finding your truth, inner
  self and also working at the core of life which is our sexual energy.
  Finding ways for people to communicate and live sexuality with
  awareness, presence and authenticity. Program of the training: Module One Online Group Study: May 3 to June 28,
  2019 Module Two Embodiment Intensive: July 1 to July 13,
  2019 Module Three Supervised Practice: July 19 to October 31,
  2010 31, 2020 The full price oft he training is 3980 €. My goal is it to raise 3000 €! I would like to express my gratitude to every person who donates
  over 100 € via a 60 minutes session of Reiki healing. I am a cerified
  reiki healer, and I deeply love this energy work. If there is no
  opportunity to meet I am offering a skype/zoom consultation after my
  graduation in August. ""Great is the matter of birth and death. Life slips quickly by. Time waits for no one. Wake up. Wake up. Don’t waist a moment."" I feel it is the right time to do this training. This is why I
  don’t wait until a am financial stabil. I don’t want to procrastinate
  things anymore. Don’t wait . I am looking forward to share my
  journey with you. If you have any questions or would like to contact
  me feel free to send me a mail. Lena",https://fundrazr.com/e1UDk6
"1,846,245",American Gut,,,,,"The Human Microbiome Project and other microbiome projects
    worldwide have laid an important foundation for understanding the
    trillions of microbes that inhabit our bodies and their impact on
    health and disease. However, opportunities for the public to get
    involved in such research have been limited. Now, American Gut gives
    you an opportunity to join this research project and learn what’s
    living on and inside you. American Gut is a project built on the open-source, open-access
    principles of the Earth Microbiome Project. The data we collect is
    de-identified and then deposited into open repositories for the
    benefit of other researchers and scientists.  By participating in
    our project, you can help contribute to research that will help the
    world understand how the microbiome affects our health. In exchange
    for your participation, we generate a report summarizing the types
    of microbes observed in your sample, and how your sample relates to
    other people in the study. While American Gut mainly focuses on the gut as this is where
    most of our microbes reside, we will also look at areas like the
    oral and skin, as these areas of the body also contain microorganisms. The American Gut Project is a part of the Microsetta Initiative , with
    the goal of collecting microbiome samples and rich phenotypic data
    from populations across the globe. Some examples of what we have found using our data: Younger
  children tend to have more proteobacteria composing their microbiome.
   As you grow older, the diversity of your microbiome increases. (Based off our preliminary findings in 2014,
      found here ) There’s a significant difference between the types of bacteria
    found in industrialized populations vs. non-industrialized populations. McDonald et al. mSystems . May 2018. DOI: 10.1128/mSystems.00031-18 If You Live in the U.S.: Joining is
    simple! Select the kit you would like from the list of options on
    the right-hand side by clicking “Claim this perk” (if you would like
    to receive a certain number of kits that isn’t listed as a perk,
    email us at info@americangut.org ) . Your kit
    will arrive via USPS within 2 weeks after payment, unless you have added the “Priority Shipping”
    perk along with your kit. If You Live in Europe: Visit our sister site, British Gut , to join. If You Live in Australia or Singapore: While we do have sites set up in Australia and Singapore (known
    as Australian Gut and Asian Gut respectively), we ask that participants contribute an additional $25 on top
    of their contribution, which covers an international shipping fee . These sites allow participants to send their samples back to a
    local site, which then sends the samples back to our lab in the U.S.
    to reduce the costs of shipping. If you live in Australia or Singapore and would like to
    participate, claim a perk.  The next page will have an option to
    ""top off"" your contribution with an additional amount,
    which you will use to add in the $25 to mark your kit to go out. I f you do not include the $25 shipping fee, your kit will not be
      sent out until we have received it. Once we have received your transaction, we will forward your
    information to our collaborators. They will then send out a kit to
    you, which you will receive within 3 weeks . Please note that the r eturn time for results will take significantly longer than the
    expected 3 months for Australian/Asian Gut participants. The reason
    is that we have to bulk ship samples on dry ice back to our lab at
    UC San Diego.  This costs thousands of dollars per shipment, so it’s
    only feasible to do once enough samples are ready to ship. If You Live Anywhere
    Else: International participants are also
    welcome to join. The $25 international shipping fee also applies (which you must include in your contribution), along with other regulations . I f you do not include the $25 shipping fee, your kit will not
      be sent out until we have received it. We also ask that samples are shipped back to our lab within 48 hours of being collected. The cost of shipping to our lab in the U.S. from some
    locations can be expensive , so it is recommended that you look into the cost of return
    shipping (it is highly suggested to use FedEx as it is more
    reliable). If you are interested in learning the process of our project
    from start to finish, we have a video available here . Each kit contains a sample tube (or more, if ordered), an
    instruction manual on how to register your kit and take a sample,
    credentials to access our participant website, and return
    envelope(s) to send your sample back. Your results will provide a general overview of how your microbial profile
    compares to other participants ( these results are not intended to be medically actionable,
      and we cannot provide any personalized interpretation ). You will also receive a list of the microorganisms found in
    your sample and their relative abundances (based at the genus
    level).  Results are uploaded via our participant website, which you
    will get access to once you register your kit. For stool samples, it will take about 3-4 months for you to receive your results, and longer for those who are
      participating outside the U.S. (due to shipping procedures to send
      samples back to our lab, which is based at the University of
      California San Diego).  It takes approximately significantly
      longer (5+ months) to receive results if you submit one of the
      following sample types: Oral or skin samples . A desktop computer or laptop is recommended to register and log your sample into our
      participant portal website, as our participant website has
      compatibility issues on mobile devices and tablets.  The best
      browser to use when you register your kit is Google Chrome . Note that your de-identified information will be part of a
      research study and will be made available in a publicly available
      research database. That is, any personal information that might
      easily identify who you are will be removed before being placed in
      the public database. If you decide that you no longer wish to continue in this
      study, please send a request to the American Gut Project help
      account ( info@americangut.org ) to inform us of your intent to withdraw. You may request a
      refund within 50 days of your original payment if you have not yet used your kit. Please note that the Fundrazr transaction fee will be
        deducted from your refund. The consent forms are maintained on the participant website;
      details are included in your kit. To sign the consent form, you
      must agree to use an electronic format for your signature in
      accordance with the United States' eSIGN Act and California's UETA
      Act. You have the right to obtain the electronic record in a
      non-electronic form. The results you receive from submitting a sample are not
      meant to act as medical or health diagnoses . We will not be able to provide any clinical or medical
      information and recommendations from your results. If you have any questions or concerns, please email us at info@americangut.org.",https://fundrazr.com/americangut
"2,585",MAY the 4TH  be with you Michael Bacon !,Canadian Dollar,,of $5.5k goal,25,"APPEAL FROM SUZIE McNEIL It was in December that my good friend and manager Michael Bacon
  injured his right leg with partially torn quad tendons and his left
  leg with a small ankle fracture and a strained Achilles heel. With injuries to both of his legs simultaneously he was rendered
  unable to walk and admitted to Trillium Hospital on December 23 where
  he spent the Christmas holidays with close friends and family visiting. After spending over 28 days in the hospital for pain management,
  Michael was transferred to a long term care facility, commonly known
  as nursing homes, for Restorative Rehabilitation at the Cooksville
  Care Centre across the street from the hospital. Michael found it funny that his mother is 83 years old, has had a
  walker for years, had her knee replaced almost 2 years ago, both
  cataracts just operated on, and he beat her to a nursing home! Michael spent the last 3 months at the facility recovering and
  restoring his strength through ongoing daily physiotherapy.  He now
  can walk with the assistance of a walker and has just been released to
  return home to continue his recovery. I visited Michael at both the hospital and the nursing home and saw
  how difficult it was to see him confined to a hospital bed and only a
  wheelchair to get around for months, so seeing him walk with a walker
  is encouraging and I know he will fully recover. Unfortunately, being incapacitated for 4 months has put a toll on his
  finances as it would anyone not being able to work and having to put
  his business on hold.  On top of the loss of income is the expenses of
  the drugs, crutches, braces, boot cast, wheelchair, walkers, and
  ongoing physiotherapy which have added up considerably. As friends and family know Michael is always the first to offer his
  help when someone is in need, and has helped many musicians, friends
  and audiences enjoy live music together over the last 20 years in the
  music business. So to thank Michael for all of his hard work and generosity I decided
  to rally some support so I put together this FundRazr account and will
  host a fundraiser concert with many of the musicians Michael has
  worked with over the past 20 years.  Everyone was excited to be a part
  of it and we have an exceptional lineup of great musicians who are
  donating their time and talent to this great event. May the 4th be with you Michael Bacon! Featuring Suzie McNeil – Stacey Kay - Gord Deppe & Sandy Horne from
    the Spoons Jordan John – Tyler Yarema - Tom Barlow - Gracie Chuck Keeping – Peter Kadar and many more surprise guests! Saturday, May the 4th 4:00 -8:00 pm Shore Grill & Grotto 71 Lakeshore Rd E. Mississauga, ON It’s going to be one hell of a show and tickets are only $20 and will
  go fast so get them while you can. For advance sales, email the number of tickets required to maythe4thbewithyoumb@gmail.com For those who are unable to make it the fundraiser
  concert, we encourage you to contribute what you can to this
  FundRazr account to help make this event a great success and get
  Michael back on his own two feet again.",https://fundrazr.com/maythe4thbewithyoumb
100,"Can you hear that sound? Well, Amirul can’t. 
Help him hear again.",U.S. Dollar,"Jul 19, 2019",of $7.5k goal,5,"During my childhood at the age of 7, while most children run around,
  have fun with their friends, joyfully shouting and playing. I
  lost my hearing on my left ear. I was told by my mother, during my infancy, I had a high fever which
  led to my loss of hearing. Because I was too young, it was hard for me to notice that I had lost
  one of my hearing. One night, my mother asked me to call my grandpa. I used my right ear
  to make the call. After making the call. I asked my mother. “Ma, how come people can use only one ear?” And she responded me “People use 2 ears dear.” She was surprised, that I asked such question, and asked me why I
  asked that question. And I told her, “I can hear with only one ear ma.” That’s when my mom first noticed that I couldn’t hear with my left
  ear, and I learned that God gave me two ears but can hear with only one. This was one of the heartbreaking times I had to go through, but I
  tried to stay positive and be thankful that I can hear with the other ear. Both my parents worked so hard to help me get hearing aids, but it
  wasn’t easy because it costed too much. It wasn’t easy for me but I
  bet it was more difficult for my parents because seeing me and taking
  few years to realize that I had this disability. Just like what every parent would do, my mother brought be to the doctor. The doctor recommended my mom to get me hearing aids. Because I was
  young, I didn’t know how this would affect my hearing later on. At
  first, I didn’t want to admit and get hearing aids because I didn’t
  want others to make fun of me at school, or how people would see me. Many years passed and I was attending college that time. It was during my 3rd semester in college. It was a normal day and I was attending class. I always had
  difficulty understanding the lessons because I couldn’t hear the
  lectures clearly from afar, so I thought I was just in a bad condition
  because my hearing was worse on that day. I went back and slept in early that day. On the next day, that
  was the day. That was the day I’ve completely lost my hearing. I thought everything was just quiet and I woke up to early. It
  wasn’t. I lost both of my hearing on that day. Only God knew what I felt that time. Most of my close friends knew that I have a hearing problem, but they
  didn’t knew that it was getting worse. Because, I had to continue my studies. I had to shrug everything off
  and continue attending class. It was very difficult for me, but my friends were there to comfort me
  and support me. Despite their support and comfort, I wanted to give up because I
  still had 2 semesters left, and it was all too overwhelming for me. I couldn’t hear anything the lecturer was talking about during class. In frustration, on that evening, I was alone in my room, and in the
  dark, I cried in the dark alone. I pushed everyone away from me because it was too hard for me to
  accept everything and place my friends in difficult situations, I
  didn’t want to make it hard for them. Few days have passed and it was getting more difficult for me, so I
  had to call my parents. I’m originally from Sibu but was studying in Kuching. I called them,
  but I couldn’t hear anything, I tried so hard to hear and raise the
  loudspeaker volume to the max. I could only hear little sounds but I knew my mom was crying, we all
  cried that night. My mom prayed really hard and tried to support me
  the best that she can. Seeing my mom working so hard to support me gave me the strength. I tried to think positive. During class, I wrote down all my
  notes by copying notes from my classmates. I read everyday and studied as much as I could. Imagine studying with both of your ear closed. It was one of the most
  hardest part of my life. I studied really hard and surprisingly passed all my courses for that semester. My mom worked really hard and saved up enough to get me basic hearing
  aid. Since the hearing aid was too expensive my mom could only afford
  to buy me one piece of hearing aid for my right ear. On my 4th semester, that’s when I started hearing again. Though it
  was only my right ear, I was so thankful that I could hear little by
  little again. I finished my associate degree and now I’m working as a contractual
  employee, I try hard to work but because of my hearing, It was hard
  for me to find a job and people to take me in. I went to the hospital to check my hearing progress and the doctor
  told me, my hearing has deteriorated and I need to get a better one,
  because we could only afford the basic hearing aid. I try to work as hard as I could for the present and for the future
  but sometimes, my efforts are not enough because capabilities are
  limits because of my hearing. My mother worked so hard to help me get this basic hearing aids, but
  our family is on a tight budget to pay off the dues, my sisters
  education fees and living expenses. This is my last hope, please help me hear again. The hearing aid’s costs 7500usd, but this is a huge amount of money
  for our family though we work hard, it would take us years to pay off
  this amount. This is my last wish. I want to hear again so, I can work better and
  support my family. Both my parents are old and still working to
  support us and pay off the dues. Your help would be highly appreciated no matter what amount it would be. Thank you for spending your precious time to read my story.",https://fundrazr.com/71UYk9
